,Image,Accuracy,F1,Jaccard,Recall,Precision
0,0000_output-slice052,0.99328125,0.93596425912137,0.8796361091672499,0.958079268292683,0.9148471615720524
1,0000_output-slice058,0.9924609375,0.9622235271090233,0.9271972840437571,0.9403213465952563,0.9851703406813628
2,0000_output-slice059,0.9947265625,0.9759658180523412,0.9530598052851182,0.9641224059092508,0.9881038211968277
3,0000_output-slice061,0.9945703125,0.9775044505583427,0.9559987337765116,0.989839396919043,0.9654731457800512
4,0000_output-slice063,0.9967578125,0.987228804431451,0.9747797022181708,0.982542113323124,0.9919604205318491
5,0000_output-slice067,0.99265625,0.9690177982860909,0.9398976982097187,0.974155069582505,0.9639344262295082
6,0000_output-slice073,0.9940234375,0.0,0.0,0.0,0.0
7,0001_output-slice045,0.9999609375,0.0,0.0,0.0,1.0
8,0001_output-slice047,0.9984375,0.9141630901287554,0.841897233201581,0.9424778761061947,0.8875
9,0001_output-slice051,0.988203125,0.8873974645786727,0.7975871313672922,0.9573612228479486,0.826963168867269
10,0001_output-slice055,0.992734375,0.952502553626149,0.90931253047294,0.9638242894056848,0.9414437152953054
11,0001_output-slice058,0.9821875,0.9230249831195138,0.8570532915360501,0.8732034493771957,0.9788757608306481
12,0001_output-slice059,0.991796875,0.967482192629297,0.9370125974805039,0.9747269890795632,0.9603442975714724
13,0001_output-slice064,0.99515625,0.9841147834998719,0.9687263556116015,0.9886743886743887,0.9795970415710278
14,0001_output-slice065,0.9958203125,0.9865998747651847,0.9735541275333663,0.988953050464474,0.9842578710644677
15,0003_output-slice305,0.9993359375,0.8702290076335878,0.7702702702702703,0.8636363636363636,0.8769230769230769
16,0003_output-slice307,0.9990234375,0.897119341563786,0.8134328358208955,0.8320610687022901,0.9732142857142857
17,0003_output-slice311,0.9995703125,0.973365617433414,0.9481132075471698,0.9710144927536232,0.9757281553398058
18,0003_output-slice317,0.998828125,0.9523809523809524,0.9090909090909091,0.9646302250803859,0.9404388714733543
19,0003_output-slice321,0.9989453125,0.9646133682830931,0.9316455696202531,0.9633507853403142,0.9658792650918635
20,0003_output-slice322,0.9989453125,0.965865992414665,0.9339853300733496,0.9597989949748744,0.9720101781170484
21,0003_output-slice326,0.9987890625,0.9660460021905805,0.934322033898305,0.9778270509977827,0.9545454545454546
